feature,importance
hour_cos,0.32605767
solar_generation,0.2608477
hour_sin,0.18168168
temp_solar_interaction,0.050678518
demand_diff_1h,0.04472984
demand_diff_24h,0.038505457
demand_lag_24,0.02200552
demand_lag_1,0.019701792
demand_roll_q75_12,0.01803743
demand_lag_48,0.013646888
fft_amp_1_168,0.0034324646
demand_diff2_1h,0.0029760492
demand_roll_std_6,0.0017320404
demand_lag_6,0.0014425569
demand_lag_2,0.0014243594
demand_roll_q25_6,0.0013901233
demand_roll_mean_6,0.0007937467
temperature,0.00078803254
demand_roll_q75_6,0.00070657104
demand_roll_q25_24,0.0006643557
demand_roll_std_12,0.0006455607
demand_roll_mean_24,0.0006229437
demand_roll_q25_168,0.00054011325
demand_roll_q75_168,0.00047566116
temp_lag_1,0.00046457592
temp_lag_24,0.0004625826
demand_lag_168,0.00045387787
demand_lag_72,0.00043968292
demand_roll_mean_12,0.0004246417
demand_roll_q75_24,0.00040125614
demand_roll_mean_168,0.00038020956
temp_lag_2,0.00036103325
demand_roll_q25_12,0.0002110897
temp_lag_3,0.00019252801
demand_roll_std_24,0.00016825412
temp_lag_12,0.00016209327
doy_cos,0.00016102855
temp_lag_6,0.00015926686
temp_humidity_interaction,0.00015920773
temp_lag_48,0.00015533753
fft_amp_3_168,0.00013845389
temp_lag_72,0.00013639565
heat_index,0.00012597622
temp_lag_168,0.00012586484
fft_amp_2_168,0.00012330446
demand_lag_3,0.000116828654
demand_roll_std_168,0.000111649606
demand_lag_12,0.00010961722
days_to_next_holiday,9.786723e-05
doy_sin,9.671155e-05
days_since_last_holiday,8.954041e-05
dow_sin,8.7173925e-05
month_cos,7.485631e-05
dow_cos,6.389288e-05
month_sin,6.33153e-05
humidity,6.166675e-05
cloud_cover,5.195164e-05
is_weekend,4.111183e-05
is_holiday,0.0
